#This is a example output file that the script is generating. 
Snapshot ID,Snapshot name,VM name,VM exists,Snapshot size (GiB),Snapshot age (days)
bdd640fb-0667-4ad1-9c80-317fa3b1799d,third_party_backup_snapshot_bdd640fb-0667-4ad1-9c80-317fa3b1799d,beaver29.internal.example.net,yes,unknown,8
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,third_party_backup_snapshot_bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,sunny-wolverine-05,yes,unknown,8
3b8faa18-37f8-488b-97fc-695a07a0ca6e,third_party_backup_snapshot_3b8faa18-37f8-488b-97fc-695a07a0ca6e,stormy-lynx-92,yes,4.24,8
6b65a6a4-8b81-48f6-b38a-088ca65ed389,third_party_backup_snapshot_6b65a6a4-8b81-48f6-b38a-088ca65ed389,srv-cache-076,yes,15.79,8
01a9e71f-de8a-474b-8f36-d58b47378190,third_party_backup_snapshot_01a9e71f-de8a-474b-8f36-d58b47378190,srv-bkp-044,yes,13.37,8
f50bea63-371e-4d7b-a7cd-813047229389,third_party_backup_snapshot_f50bea63-371e-4d7b-a7cd-813047229389,heron12.prod.example.io,yes,4.48,8
580d7b71-d8f5-4413-9be6-128e18c26797,third_party_backup_snapshot_580d7b71-d8f5-4413-9be6-128e18c26797,otter94.prod.example.io,yes,4.25,8
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,third_party_backup_snapshot_ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,bra-print81,yes,6.15,8
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,third_party_backup_snapshot_5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,srv-web-006,yes,1.85,8
4a15544d-c5e7-4e8a-ba57-8a8ea9488d99,third_party_backup_snapshot_4a15544d-c5e7-4e8a-ba57-8a8ea9488d99,mighty-heron-49,yes,14.63,7
d58842de-a2bc-472f-b412-b29347294739,third_party_backup_snapshot_d58842de-a2bc-472f-b412-b29347294739,raven48.lab.example.org,yes,3.19,7
b3aa7efe-4458-4885-ab90-99a435a240ae,third_party_backup_snapshot_b3aa7efe-4458-4885-ab90-99a435a240ae,rusty-cougar-22,yes,140.83,7
29d4beef-3eab-4dcb-baa8-0dd488bd6407,third_party_backup_snapshot_29d4beef-3eab-4dcb-baa8-0dd488bd6407,fro-mgmt82,yes,10.58,7
af42e12f-3838-4326-8e94-4239b02b61c4,third_party_backup_snapshot_af42e12f-3838-4326-8e94-4239b02b61c4,caracal08.internal.example.net,yes,14.0,7
50c187fc-ce17-4b4e-8837-b8a3d261a7ab,third_party_backup_snapshot_50c187fc-ce17-4b4e-8837-b8a3d261a7ab,anc-web28,yes,1.79,7
e059a0ee-9132-463e-b162-87e4e9c349e0,third_party_backup_snapshot_e059a0ee-9132-463e-b162-87e4e9c349e0,lynx84.prod.example.io,yes,1.42,7
a491f0b2-ea1f-4a65-a27a-984d654821d0,third_party_backup_snapshot_a491f0b2-ea1f-4a65-a27a-984d654821d0,qui-mgmt18,yes,0.03,7
89fa6a68-8fb5-427b-beb7-99193f22faf8,third_party_backup_snapshot_89fa6a68-8fb5-427b-beb7-99193f22faf8,tapir75.prod.example.io,yes,3.18,7
5cabcc97-663f-4c97-9562-69f0e5d7b875,third_party_backup_snapshot_5cabcc97-663f-4c97-9562-69f0e5d7b875,srv-dc-066,yes,34.68,7
0c0fd195-c17a-408a-9745-d6d87e570ddf,third_party_backup_snapshot_0c0fd195-c17a-408a-9745-d6d87e570ddf,quiet-cougar-21,yes,5.82,7
98ae4334-6c12-4ce8-ae34-0454cac5b68c,third_party_backup_snapshot_98ae4334-6c12-4ce8-ae34-0454cac5b68c,frozen-gopher-77,yes,7.72,7
405cacec-8774-49a9-b7d2-1e02ff01cf99,third_party_backup_snapshot_405cacec-8774-49a9-b7d2-1e02ff01cf99,golden-tapir-15,yes,2.33,7
c0398710-8976-4334-a281-7efdae849217,third_party_backup_snapshot_c0398710-8976-4334-a281-7efdae849217,caracal83.lab.example.org,yes,19.49,7
287d06ca-6f4c-469a-8b22-d3081c8eaee9,third_party_backup_snapshot_287d06ca-6f4c-469a-8b22-d3081c8eaee9,hap-mgmt65,yes,10.59,7
e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,third_party_backup_snapshot_e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,emerald-ferret-82,yes,25.53,7
2720797d-32eb-4689-9be5-78c781f631d4,third_party_backup_snapshot_2720797d-32eb-4689-9be5-78c781f631d4,caracal21.example.local,yes,10.52,7
87c5421e-ec24-43c5-8754-108ff4188f3f,third_party_backup_snapshot_87c5421e-ec24-43c5-8754-108ff4188f3f,rusty-kestrel-63,yes,10.17,7
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,third_party_backup_snapshot_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,beaver08.internal.example.net,yes,34.81,7
14296c07-f26b-4776-913e-4de2e0c53cb8,third_party_backup_snapshot_14296c07-f26b-4776-913e-4de2e0c53cb8,crimson-walrus-09,yes,15.36,7
c40db9b4-885f-4e66-82b6-d2c5fa5d3100,third_party_backup_snapshot_c40db9b4-885f-4e66-82b6-d2c5fa5d3100,srv-dc-085,yes,7.77,7
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,third_party_backup_snapshot_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,gecko78.prod.example.io,yes,191.08,7
8a0f4efb-edcd-465e-b638-6821f6e07cc0,third_party_backup_snapshot_8a0f4efb-edcd-465e-b638-6821f6e07cc0,srv-print-052,yes,145.11,7
5f987c71-a65e-488e-abf3-ad39fec21bbe,third_party_backup_snapshot_5f987c71-a65e-488e-abf3-ad39fec21bbe,gen-cache16,yes,41.94,7
568cc69b-1064-405c-b985-c3cf3f76be1d,third_party_backup_snapshot_568cc69b-1064-405c-b985-c3cf3f76be1d,sunny-koala-30,yes,118.78,7
122c9a56-01d7-4256-b860-2ab696a402f2,third_party_backup_snapshot_122c9a56-01d7-4256-b860-2ab696a402f2,mighty-badger-05,yes,10.73,7
839fbc50-1223-4513-9496-f63cdc1110c1,third_party_backup_snapshot_839fbc50-1223-4513-9496-f63cdc1110c1,srv-mgmt-086,yes,50.74,7
21df306f-8a0b-4c33-b6d8-393a7c441fe7,third_party_backup_snapshot_21df306f-8a0b-4c33-b6d8-393a7c441fe7,mig-queue53,yes,4.8,7
a8b317fa-18d0-452b-9825-bc5430beb45f,third_party_backup_snapshot_a8b317fa-18d0-452b-9825-bc5430beb45f,roy-bkp53,yes,8.6,7
0dde29a6-baa4-471a-9d24-67ac778eedb3,third_party_backup_snapshot_0dde29a6-baa4-471a-9d24-67ac778eedb3,silent-gopher-94,yes,6.12,7
1bf90e27-dc96-425e-8cf3-a17156dc8907,third_party_backup_snapshot_1bf90e27-dc96-425e-8cf3-a17156dc8907,srv-rds-025,yes,2.72,7
6c006f61-23e2-4cb4-b2d8-567d894a05e4,third_party_backup_snapshot_6c006f61-23e2-4cb4-b2d8-567d894a05e4,srv-mgmt-060,yes,4.18,7
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,third_party_backup_snapshot_134c6c92-ec5b-427c-9fde-4fbf3ff350bf,amb-sql07,yes,4.75,7
d605e770-8a63-4881-bfd0-f9d5a6f2f7b8,third_party_backup_snapshot_d605e770-8a63-4881-bfd0-f9d5a6f2f7b8,brave-caracal-31,yes,3.69,7
7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,third_party_backup_snapshot_7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,srv-mon-008,yes,0.09,7
fc3d3348-008d-4127-a104-61e32a25a888,third_party_backup_snapshot_fc3d3348-008d-4127-a104-61e32a25a888,anc-cache37,yes,2.42,7
bb026576-f512-44c3-b253-d2186c4a37ea,third_party_backup_snapshot_bb026576-f512-44c3-b253-d2186c4a37ea,qui-rds38,yes,2.17,7
944528c0-0ef8-42d6-b7fd-564637bb3eec,third_party_backup_snapshot_944528c0-0ef8-42d6-b7fd-564637bb3eec,crimson-kestrel-08,yes,1.83,7
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,third_party_backup_snapshot_80bacd64-7a0e-4fea-958c-a9ba0cd620c2,srv-db-066,yes,2.55,7
118a9d29-2f92-4996-99f1-95d014822f53,third_party_backup_snapshot_118a9d29-2f92-4996-99f1-95d014822f53,golden-beaver-52,yes,2.71,7
91d63f78-e3e9-4e99-b10c-718b1eb0e38a,third_party_backup_snapshot_91d63f78-e3e9-4e99-b10c-718b1eb0e38a,srv-db-080,yes,5.94,7
956b8c0c-a849-4b92-ab52-52e314fcdd54,third_party_backup_snapshot_956b8c0c-a849-4b92-ab52-52e314fcdd54,narwhal27.lab.example.org,yes,2.3,7
21813d25-6552-48a6-83ff-50113d1a85dd,third_party_backup_snapshot_21813d25-6552-48a6-83ff-50113d1a85dd,panda41.corp.example,yes,3.16,7
ff9ab5c2-9f04-4aed-b552-332702627f73,third_party_backup_snapshot_ff9ab5c2-9f04-4aed-b552-332702627f73,brave-koala-28,yes,11.56,7
eeea163e-21e8-4c68-83e4-2caf8181a8cc,third_party_backup_snapshot_eeea163e-21e8-4c68-83e4-2caf8181a8cc,badger32.lab.example.org,yes,2.11,7
d5704f32-702c-4d20-a862-18b848f4ef12,third_party_backup_snapshot_d5704f32-702c-4d20-a862-18b848f4ef12,stoat84.example.local,yes,3.08,7
8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,third_party_backup_snapshot_8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,bison14.internal.example.net,yes,1.87,7
1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,third_party_backup_snapshot_1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,srv-mgmt-037,yes,8.45,7
57c700aa-b7b5-4ea7-b5eb-d32d9ad620ab,third_party_backup_snapshot_57c700aa-b7b5-4ea7-b5eb-d32d9ad620ab,srv-mgmt-065,yes,2.73,7
e87d1c78-e7c4-41c7-8049-7b717d106c60,third_party_backup_snapshot_e87d1c78-e7c4-41c7-8049-7b717d106c60,brave-cougar-55,yes,2.2,7
00e85ece-0b49-452d-86d4-83f3d450281c,third_party_backup_snapshot_00e85ece-0b49-452d-86d4-83f3d450281c,caracal17.lab.example.org,yes,12.52,7
8d3aed99-711c-41c9-bdc1-4f1f295d6fbf,third_party_backup_snapshot_8d3aed99-711c-41c9-bdc1-4f1f295d6fbf,sto-app15,yes,2.63,7
